parameter,fraction,t,classifcation,trout_class,type,use,water_type,threshold,direction
ph,total,ph_units, aa,all,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,6.5,>=
ph,total,ph_units, aa-special,all,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,6.5,>=
ph,total,ph_units,a,all,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,8.5,<=
ph,total,ph_units, a-special,all,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,8.5,<=
ph,total,ph_units, aa,all,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,8.5,<=
ph,total,ph_units, aa-special,all,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,8.5,<=
ph,total,ph_units,d,none,none,fishing,flow; pond,6,>=
ph,total,ph_units,d,none,none,fishing,flow; pond,9.5,<=
phosphorus,total,ug/l,b,all,none,primary contact recreation; secondary contact recreation,pond,20,<=
phosphorus,total,ug/l, a,all,none,primary contact recreation; secondary contact recreation,pond,20,<=
phosphorus,total,ug/l, a-special,all,none,primary contact recreation; secondary contact recreation,pond,20,<=
phosphorus,total,ug/l, aa,all,none,primary contact recreation; secondary contact recreation,pond,20,<=
phosphorus,total,ug/l, aa-special,all,none,primary contact recreation; secondary contact recreation,pond,20,<=
silver,total,ug/l,a,all,health_water-supply,source of water supply,flow; pond,50,<=
silver,total,ug/l, a-special,all,health_water-supply,source of water supply,flow; pond,50,<=
silver,total,ug/l, aa,all,health_water-supply,source of water supply,flow; pond,50,<=
silver,total,ug/l, aa-special,all,health_water-supply,source of water supply,flow; pond,50,<=
silver,dissolved,ug/l,c,all,aquatic_chronic,fishing,flow; pond,0.1,<=
silver,dissolved,ug/l, b,all,aquatic_chronic,fishing,flow; pond,0.1,<=
silver,dissolved,ug/l, a,all,aquatic_chronic,fishing,flow; pond,0.1,<=
silver,dissolved,ug/l, a-special,all,aquatic_chronic,fishing,flow; pond,0.1,<=
silver,dissolved,ug/l, aa,all,aquatic_chronic,fishing,flow; pond,0.1,<=
silver,dissolved,ug/l, aa-special,all,aquatic_chronic,fishing,flow; pond,0.1,<=
silver_acid-soluble,dissolved,ug/l,d,none,aquatic_acute,fishing,flow; pond,NA,<=
silver_acid-soluble,dissolved,ug/l,sd,none,aquatic_acute,fishing,flow,2.3,<=
sulfate,total,ug/l,a,all,health_water-supply,source of water supply,flow; pond,250000,<=
sulfate,total,ug/l, a-special,all,health_water-supply,source of water supply,flow; pond,250000,<=
sulfate,total,ug/l, aa,all,health_water-supply,source of water supply,flow; pond,250000,<=
sulfate,total,ug/l, aa-special,all,health_water-supply,source of water supply,flow; pond,250000,<=
total_coliform,total,cfu/100ml,aa,all,none,fishing; secondary contact recreation; primary contact recreation,flow; pond,50,<=
